LABEL,PHY_REGION,LAT,LON
Albion St EEC,E,34.0686779336336,-118.220147118245
Alexandria Ave EEC,E,34.0788062148167,-118.298665765436
Rinaldi Adult Center,N,34.2788047331072,-118.513941744181
Transportation Branch Office,E,34.0597693564536,-118.254307387376
Castellanos,S,34.0394924789098,-118.295428354072
Cisneros Lrng Acad,E,34.0761205993938,-118.265078025952
Azalea Acad,E,33.95166416543,-118.189452544695
ISIC,E,34.0563432351408,-118.257410886557
East Valley Skills Ctr,N,34.2255788541802,-118.409911324368
Buchanan St DLC Sp,E,34.119087943902,-118.20647172425
Lizarraga DL Sp,E,34.0106549884893,-118.266872733234
Menlo Ave DLC Sp,S,34.007816789375,-118.288705841034
ISANA Himalia Acad,E,34.0009970794352,-118.256297990352
ISANA Himalia Acad,E,34.0026876527093,-118.259308442763
Sylvan Park EEC,N,34.1828535856931,-118.46013439056
Telfair Ave EEC,N,34.2684479667756,-118.430990264226
Grant EEC,W,34.0996934156352,-118.311800940609
Gratts EEC,E,34.0556975409021,-118.263846871132
Haddon Ave EEC,N,34.2533241569662,-118.420972566806
Locke EEC,S,33.9344243301179,-118.268855042073
Olguin High,S,33.7158550544224,-118.298862848491
East LA Star Adult Ed,E,34.0392059700594,-118.172038833998
Newton St Admin,E,34.0268048533315,-118.24592218557
Inventory Mgt,,33.9808735899674,-118.107227885388
Oat Mountain Radio Tower,N,34.3292865603997,-118.601218931009
Mt Lee Radio Tower,W,34.1339730409393,-118.320798863157
Bassett St DLC Sp,N,34.1954036606047,-118.477536605638
Stella ES Chrtr Acad,W,34.00862351264,-118.342479324924
Palisades Chrtr High,W,34.045699657749,-118.531099126643
McAuliffe EEC,E,33.9521535965335,-118.190776581048
Mikes EEC,S,33.9692741737483,-118.291130992448
Miles Ave EEC,E,33.9772311719949,-118.218432002674
Miramonte EEC,S,33.9770388817326,-118.250418062824
Monte Vista EEC,E,34.1123610906339,-118.197926203902
Murchison St EEC,E,34.0604239385228,-118.19546431634
Watson Career Trng Ctr,W,34.0162034921616,-118.335469950353
School Police Dept,E,34.0600559601737,-118.253997780349
HR-Teacher Trng Acad,E,34.0819833929432,-118.257510763574
Sp Ed Svc Ctr - NE,N,34.2492110563408,-118.426142922516
Local Dist West Support,W,34.0281415262861,-118.438416796778
LASP Northeast Div,N,34.2717533744596,-118.404505636546
Sun Valley Health/Dental,N,34.2017935927298,-118.375231209702
Mt Lukens Radio Tower,N,34.2682915291289,-118.238835400717
CWC Sch East Valley,N,34.1719818705138,-118.39448395771
Paseo Del Rey DTS,W,33.9570019104655,-118.434073043533
Paseo Del Rey Mag,W,33.9570019104655,-118.434073043533
Iovine Young Ctr Mag,S,34.0087579467366,-118.328845122741
Carnegie AMME Mag,S,33.8296722278265,-118.258136519295
Noble Ave EEC,N,34.2218587118118,-118.461400470962
Normandie Ave EEC,S,34.0034227213664,-118.298357632048
Normont EEC,S,33.797003083226,-118.293514450419
Northridge EEC,N,34.2240151887882,-118.52713343717
Pacoima EEC,N,34.2709562471485,-118.415050822736
Park Western Pl EEC,S,33.7537590867662,-118.304435462734
H.E.E.T. (C/D) CoS,S,33.9966452756709,-118.327620201394
"Lincoln Heights/El Sereno CoS",E,34.0687902054101,-118.186831693678
"San Pedro CoS",S,33.7649139427926,-118.298533344713
Wilmington Skill Ctr,S,33.7713139324358,-118.266568123687
San Pedro Sci Ctr,S,33.7651480391584,-118.296498211783
Van Nuys Bus Garage,N,34.2207363693035,-118.48514290901
Fairfax CoS,W,34.0900967496591,-118.362129892309
Fremont CoS,S,33.9692821174227,-118.289250640767
Clinton MHC Mag,E,34.0173173115361,-118.277014160558
East Valley ICM Mag,N,34.1700460922892,-118.371402957476
Menlo Ave STEAM Mag,S,34.007816789375,-118.288705841034
Sterry DTJ,W,34.0443393602263,-118.447322627523
Pinewood Ave EEC,N,34.252419985359,-118.285531829046
Shenandoah St EEC,W,34.0380065386511,-118.385339276003
Anton EEC,E,34.046274861096,-118.181635457748
Roosevelt Infant,E,34.0374673938794,-118.211809960207
Toluca Lake EEC,N,34.1599134400149,-118.359742410368
Trinity EEC,E,34.0114573811842,-118.269764212405
Gardena CoS,S,33.8828835822025,-118.301307994596
Glassell Park/Los Feliz CoS,W,34.0928517553487,-118.288271236043
H.E.E.T. (W) CoS,S,33.9514976896732,-118.288082776581
Hamilton CoS,W,34.0180531165768,-118.420205040918
Harbor City/Lomita CoS,S,33.8047639310786,-118.302175885496
Huntington Park/Vernon CoS,E,33.9775483732812,-118.217795778992
Hollywood CoS,W,34.0916472863509,-118.300012348721
Kennedy/NAHS/VAAS CoS,N,34.2623978411535,-118.479954985311
Wilshire Park DWL,W,34.061077360283,-118.315287597992
VA STEAM,E,34.0533527590263,-118.177747167239
VA Ldsrp & Pub Srvc,S,34.0310605219822,-118.29300530434
VA Int Studies Wld Lg,N,34.223229023321,-118.407878185829
VA Computer Science,S,33.9966452756709,-118.327620201394
Wilton Pl El DLC Sp,W,34.0585321455232,-118.315369035643
Broadway DLC Ma,W,33.9970752430515,-118.46226702783
Cienega DLC Sp,W,34.0314236189948,-118.354192328637
Maple PC DLC Sp,E,34.0154976272077,-118.271201807356
San Miguel DLC Sp,E,33.9451778052279,-118.201481445966
El Sereno Gifted Mag,E,34.0796107333246,-118.179646213085
Burbank MS PA Mag,E,34.1189567731642,-118.182426762187
Le Conte HEAT Mag,W,34.094867423675,-118.316884791275
Madison MMS Mag,N,34.1964268682075,-118.416497522769
Wilson PA Mag,E,34.0687902054101,-118.186831693678
Euclid Ave DLC Sp,E,34.0310700086891,-118.206195448144
Loreto St DLC Sp,E,34.0864490701553,-118.216595542841
Magnolia Ave DL Sp,W,34.0436408482522,-118.287441738673
San Fernando DL Sp,N,34.279410987684,-118.448247331538
