LABEL,LAT,LON,SHORTNAME
Alexandria Ave EEC,34.0788062148167,-118.298665765436,Central
Transportation Branch Office,34.0597693564536,-118.254307387376,Central
Castellanos,34.0394924789098,-118.295428354072,Central
Cisneros Lrng Acad,34.0761205993938,-118.265078025952,Central
ISIC,34.0563432351408,-118.257410886557,Central
Buchanan St DLC Sp,34.119087943902,-118.20647172425,Central
Lizarraga DL Sp,34.0106549884893,-118.266872733234,Central
Menlo Ave DLC Sp,34.007816789375,-118.288705841034,Central
ISANA Himalia Acad,34.0009970794352,-118.256297990352,Central
ISANA Himalia Acad,34.0026876527093,-118.259308442763,Central
Gratts EEC,34.0556975409021,-118.263846871132,Central
Newton St Admin,34.0268048533315,-118.24592218557,Central
Monte Vista EEC,34.1123610906339,-118.197926203902,Central
School Police Dept,34.0600559601737,-118.253997780349,Central
HR-Teacher Trng Acad,34.0819833929432,-118.257510763574,Central
Normandie Ave EEC,34.0034227213664,-118.298357632048,Central
Clinton MHC Mag,34.0173173115361,-118.277014160558,Central
Menlo Ave STEAM Mag,34.007816789375,-118.288705841034,Central
Trinity EEC,34.0114573811842,-118.269764212405,Central
Glassell Park/Los Feliz CoS,34.0928517553487,-118.288271236043,Central
VA Ldsrp & Pub Srvc,34.0310605219822,-118.29300530434,Central
Maple PC DLC Sp,34.0154976272077,-118.271201807356,Central
Burbank MS PA Mag,34.1189567731642,-118.182426762187,Central
Magnolia Ave DL Sp,34.0436408482522,-118.287441738673,Central
Estrella EEC,33.9905758692227,-118.273105114146,Central
Glassell Park EEC,34.1051568887425,-118.237016648672,Central
Alexandria Ave DTS,34.0783668820902,-118.298812568312,Central
California Creative Lrng Acad,34.1187929484872,-118.23102649676,Central
Kahlo High,34.0298161797105,-118.263858712788,Central
Glenfeliz Blvd EEC,34.122924812788,-118.266286047208,Central
Newmark High,34.0613351026175,-118.262757902791,Central
RFK UCLA Comm Sch DLC,34.0580274281338,-118.296998266215,Central
MacArthur Pk DL Sp,34.0572051701342,-118.279692628957,Central
Kim DLC Sp,34.0702247652619,-118.308157190929,Central
Wadsworth Ave EEC,34.0094664230807,-118.25735293381,Central
Hobart Blvd DLC Sp,34.0534965622101,-118.304837812289,Central
Aurora DTS,33.9946781227489,-118.257577152826,Central
Aldama DLC Sp,34.1099671998992,-118.207163135168,Central
Cahuenga DLC Ko,34.0703635784258,-118.305096218548,Central
Hooper Ave PC DLC Sp,33.9955803168569,-118.252828398222,Central
Alexander SCS DLC Sp,34.0173077198559,-118.284016575494,Central
Logan Acad DL TWI,34.0794955663329,-118.257580542276,Central
